Unnamed: 0,State,DISTRICT,STATION,Turbidity,pH,Color,DO,BOD,TDS,Hardness,Cl,No3,So4,Coliform,As,F
0,TELANGANA,KARIMNAGAR,Mancherial,4.417272727272731,7.46363636363636,,6.15454545454546,1.4,342.909090909091,181.18945454545502,28.2272727272727,0.0,27.936363636363602,3494.72727272727,4.55876666666667,0.7445454545454541
1,MAHARASHTRA,AKOLA,GOPALKHEDA,3.0,8.18333333333333,,7.0,1.58,544.5,109.829333333333,78.8333333333333,0.054000000000000006,11.8666666666667,1950.0,3.6826225806451607,0.148333333333333
2,TAMILNADU,ERODE,URACHIKOTTAI,17.01499097748317,7.957000000000001,,7.29,2.49,218.9,125.0924,27.0,0.07788076145771602,13.470999999999998,28662.758076799753,2.29,0.2811
3,UTTARAKHAND,CHAMPAWAT,GHAT,17.01499097748317,8.37916666666667,,7.18916666666667,0.639166666666667,176.166666666667,145.55525,13.371666666666698,0.2139,16.36,28662.758076799753,3.6826225806451607,0.15991666666666698
4,"""UTTAR PRADESH""",MORADABAD,"""Gagan Moradabad""",5.06666666666667,7.94166666666667,,4.48583333333333,12.365,245.916666666667,282.09283333333303,21.9804166666667,1.06835,17.76,28662.758076799753,3.6826225806451607,0.4259166666666671
5,ASSAM,CACHAR,Monierkhal,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
6,TAMILNADU,THIRUVARUR,Menangudi,17.01499097748317,8.07,,6.703154676138132,1.44,171.333333333333,96.3752333333333,56.72,0.07788076145771602,17.1866666666667,28662.758076799753,0.006999999999999999,0.27333333333333304
7,ODISHA,KENDUJHAR,Anandapur,17.01499097748317,7.75083333333333,,7.1625,0.796666666666667,220.23367054827756,52.388883333333304,17.966666666666697,0.0025090909090910002,16.975,28662.758076799753,3.6826225806451607,0.05
8,"""UTTAR PRADESH""",BUDAUN,Kachhlabridge,4.63333333333333,8.11333333333333,,6.2875,1.5666666666666698,144.416666666667,161.44525,13.845,0.30245,13.76,28662.758076799753,3.6826225806451607,0.3594166666666671
9,"""UTTAR PRADESH""","""JYOTIBA PHULE NAGAR""",Garhmukteshwar,4.29166666666667,8.1125,,6.7475,1.34166666666667,173.083333333333,182.671916666667,14.28875,0.27025,10.76,28662.758076799753,3.6826225806451607,0.277083333333333
10,"""UTTAR PRADESH""",PRATAPGARH,PRATAPGARH,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
11,"""ARUNACHAL PRADESH""",LOHIT,Tezu,17.01499097748317,7.225,,6.703154676138132,2.6815519541519084,89.25,81.1905875,7.625,0.07788076145771602,1.195,28662.758076799753,3.6826225806451607,0.3672985530539035
12,ASSAM,MARIGAON,Jagibhakatgaon,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
13,CHHATTISGARH,RAIPUR,RAJIM,17.01499097748317,8.03,,7.36666666666667,0.5,220.23367054827756,42.79305,12.666666666666698,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
14,KARNATAKA,CHAMRAJNAGAR,KUDLUR,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
15,KERALA,PATHANAMTHITTA,THUMPAMON,17.01499097748317,6.81666666666667,,5.9,0.711666666666667,39.1666666666667,20.222233333333303,8.7,0.012666666666667001,0.966666666666667,1460.0,2.92,0.181566666666667
16,"""ARUNACHAL PRADESH""","""UPPER SIANG""",Tuting,17.01499097748317,8.075,,8.35,2.6815519541519084,80.5,73.041675,2.25,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
17,CHHATTISGARH,DURG,Kotni,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
18,CHHATTISGARH,DURG,"""Andhiyar Khore""",17.01499097748317,8.18454545454545,,6.90909090909091,0.6181818181818179,220.23367054827756,194.906090909091,24.9090909090909,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
19,"""UTTAR PRADESH""",DEORIA,Turtipar,17.01499097748317,8.36083333333333,,7.29,1.01666666666667,197.0,158.118916666667,15.324166666666699,0.21735,16.72,28662.758076799753,3.6826225806451607,0.1805
20,"""UTTAR PRADESH""",MAINPURI,Bewar,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
21,UTTARAKHAND,CHAMOLI,"""KARNPRAYAG CONFLUENCE D/S""",17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
22,"""UTTAR PRADESH""","""AMBEDKAR NAGAR""",AKBARPUR,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
23,ASSAM,CACHAR,Annapurnaghat,17.01499097748317,6.85090909090909,,6.703154676138132,2.6815519541519084,71.5454545454545,76.6113454545455,12.909090909090901,0.07788076145771602,1.22090909090909,28662.758076799753,3.6826225806451607,0.3672985530539035
24,MAHARASHTRA,PUNE,Phulgaon,17.01499097748317,7.3,,6.703154676138132,1.9,220.23367054827756,80.3363,8.51,0.00394737,14.2,54000.0,3.6826225806451607,0.326
25,CHHATTISGARH,JANJGIRCHAMPA,Bamnidhi,17.01499097748317,8.2275,,6.9666666666666694,1.4333333333333302,220.23367054827756,99.7950833333333,23.25,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
26,TAMILNADU,RAMANATHAPURAM,PARAMAKUDI,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
27,"""MADHYA PRADESH""",NARSIMHAPUR,Gadarwara,82.1,8.09272727272727,,6.51818181818182,0.8818181818181821,188.090909090909,158.227245454545,9.28181818181818,0.034727272727272995,7.2945454545454504,28662.758076799753,3.6826225806451607,0.22063636363636396
28,"""MADHYA PRADESH""",MORENA,Dholpur,17.01499097748317,8.395,,6.703154676138132,2.6815519541519084,220.23367054827756,167.414083333333,41.3279166666667,0.04715,44.16,28662.758076799753,3.6826225806451607,0.37525
29,ODISHA,NABARANGAPUR,Nowrangpur,15.706,7.78,,6.9,0.89,96.2,62.175,3.01,0.0,9.01,5862.0,1.1695,0.10300000000000001
30,MAHARASHTRA,NASHIK,CHANWADA,6.2,8.06,,7.8,1.8980000000000001,369.2,113.6234,94.2,0.07,12.36,1400.0,3.6826225806451607,0.16
31,GUJARAT,AMRELI,Lowara,16.4,8.366,,9.2,2.74,3790.8,724.3322,1569.2,0.10400000000000001,54.238,271004.0,3.6826225806451607,0.762
32,GUJARAT,"""BANAS KANTHA""",Chitrasani,11.75,8.4675,,10.125,2.725,448.5,220.29575,93.5,0.015,15.0,271040.0,3.6826225806451607,0.8175
33,ASSAM,KAMRUP,"""Puthimari NH Rd Xing""",10.505,7.255,,6.703154676138132,2.6815519541519084,135.0,129.0,13.0,0.0,1.205,28662.758076799753,3.6826225806451607,0.3672985530539035
34,UTTARAKHAND,CHAMPAWAT,PANCHESHWAR,17.01499097748317,7.764260379136993,,6.703154676138132,2.6815519541519084,220.23367054827756,131.77457374277378,37.22037571253798,0.07788076145771602,18.142366924447888,28662.758076799753,3.6826225806451607,0.3672985530539035
