Ind,State,DISTRICT,STATION,Turbidity,pH,Color,DO,BOD,TDS,Hardness,Cl,No3,So4,Coliform,As,F
0,TELANGANA,KARIMNAGAR,Mancherial,4.41727272727273,7.46363636363636,,6.15454545454546,1.4,342.909090909091,181.189454545455,28.2272727272727,0,27.9363636363636,3494.72727272727,4.55876666666667,0.744545454545454
1,MAHARASHTRA,AKOLA,GOPALKHEDA,3,8.18333333333333,,7,1.58,544.5,109.829333333333,78.8333333333333,0.054,11.8666666666667,1950,,0.148333333333333
2,TAMILNADU,ERODE,URACHIKOTTAI,,7.957,,7.29,2.49,218.9,125.0924,27,,13.471,,2.29,0.2811
3,UTTARAKHAND,CHAMPAWAT,GHAT,,8.37916666666667,,7.18916666666667,0.639166666666667,176.166666666667,145.55525,13.3716666666667,0.2139,16.36,,,0.159916666666667
4,"""UTTAR PRADESH""",MORADABAD,"""Gagan Moradabad""",5.06666666666667,7.94166666666667,,4.48583333333333,12.365,245.916666666667,282.092833333333,21.9804166666667,1.06835,17.76,,,0.425916666666667
5,ASSAM,CACHAR,Monierkhal,,,,,,,,,,,,,
6,TAMILNADU,THIRUVARUR,Menangudi,,8.07,,,1.44,171.333333333333,96.3752333333333,56.72,,17.1866666666667,,0.007,0.273333333333333
7,ODISHA,KENDUJHAR,Anandapur,,7.75083333333333,,7.1625,0.796666666666667,,52.3888833333333,17.9666666666667,0.002509090909091,16.975,,,0.05
8,"""UTTAR PRADESH""",BUDAUN,Kachhlabridge,4.63333333333333,8.11333333333333,,6.2875,1.56666666666667,144.416666666667,161.44525,13.845,0.30245,13.76,,,0.359416666666667
9,"""UTTAR PRADESH""","""JYOTIBA PHULE NAGAR""",Garhmukteshwar,4.29166666666667,8.1125,,6.7475,1.34166666666667,173.083333333333,182.671916666667,14.28875,0.27025,10.76,,,0.277083333333333
10,"""UTTAR PRADESH""",PRATAPGARH,PRATAPGARH,,,,,,,,,,,,,
11,"""ARUNACHAL PRADESH""",LOHIT,Tezu,,7.225,,,,89.25,81.1905875,7.625,,1.195,,,
12,ASSAM,MARIGAON,Jagibhakatgaon,,,,,,,,,,,,,
13,CHHATTISGARH,RAIPUR,RAJIM,,8.03,,7.36666666666667,0.5,,42.79305,12.6666666666667,,,,,
14,KARNATAKA,CHAMRAJNAGAR,KUDLUR,,,,,,,,,,,,,
