GEMS Station Number,Historical GEMS Number,Local Station Number,Country Name,Water Type,Station Identifier,Station Narrative,Water Body Name,Main Basin,Upstream Basin Area,Elevation,Monitoring Type,Date Station Opened,Responsible Collection Agency,Latitude,Longitude,River Width,Discharge,Max. Depth,Lake Area,Lake Volume,Average Retention,Area of Aquifer,Depth of Impermeable Lining,Production Zone,Mean Abstraction Rate,Mean Abstraction Level
IND00014,031014,,India,River station,Godavari River - near Polavaram,"Metres upstream of Polavaram Barrage,  gauging station of Central Water Commission No. 47",,Godavari,307800,18.8,BASELINE,1980-09-30,Ministry of Environment & Forests - Central Pollution Control Board,17.25,81.6666666666667,1600,4641,,,,,,,,,
IND00015,031015,,India,Groundwater station,Well - at Kuyyuru,"Near Mancherial, Godavari River Basin, eastern outskirts of village, in from of Mr. Bhandriah House",,Godavari,,,IMPACT,1981-04-25,Ministry of Environment & Forests - Central Pollution Control Board,18.6072222222222,79.8405555555556,,,,,,,,7.8,,10,
IND00016,031016,,India,Groundwater station,Well - at Tadavai,"Near Eturnagaram, in premises of Ashram School, Godavari River Basin",,Godavari,,,IMPACT,1980-09-19,Ministry of Environment & Forests - Central Pollution Control Board,18.2316666666667,80.3144444444444,,,,,,,,8.1,,12,
IND00023,031023,,India,River station,Subarnerekha River - downstream Ranchi,(Tatisilwai),,Subarnerekha,,123,BASELINE,1979-09-20,Ministry of Environment & Forests - Central Pollution Control Board,23.1208333333333,85.5,,7791,,,,,,,,,
IND00072,031072,,India,River station,Cauvery River - at Pitchavaram,"Tamil Nadu State, India Stn 1327, new October 2003.",,Cauvery,,,FLUX,1990-12-01,Ministry of Environment & Forests - Central Pollution Control Board,11.4166666666667,79.7833333333333,,,,,,,,,,,
IND00028,031028,,India,River station,Bhima River - near Takali,"220 m upstream of National highway, gauging station No. 23 of Central Water Commission",,Krishna,33916,418.3,BASELINE,1978-06-08,Ministry of Environment & Forests - Central Pollution Control Board,17.4108333333333,75.8502777777778,220,506,,,,,,,,,
IND00029,031029,,India,River station,Tungabhadra River - at Ullanuru,"Kilometres downstream of Tungabhadra Dame, gauging station No. 28 of Central Water Commission",,Krishna,33018,373.5,IMPACT,1978-10-26,Ministry of Environment & Forests - Central Pollution Control Board,15.2666666666667,76.35,240,254,,,,,,,,,
IND00065,031065,,India,River station,Mindhola River - at State Highway Bridge Sachin,"At state highway bridge Sachin, Gujarat State, India Stn 1438, new October 2003.",,Tapti,,,FLUX,1992-02-10,Ministry of Environment & Forests - Central Pollution Control Board,21.08333,72.88333,,,,,,,,,,,
IND00024,031024,,India,River station,Subarnerekha River - at Jamshedpur,Near Ghatshila District Board,,Subarnerekha,8180,72,IMPACT,1979-09-22,Ministry of Environment & Forests - Central Pollution Control Board,22.5711111111111,86.4805555555556,,159,,,,,,,,,
IND00025,031025,,India,River station,Krishna River - near Vijayawada,"Near Prakasam Barrage, gauging station of Central Water Commission No. 12",,Krishna,251360,15.2,IMPACT,1979-08-23,Ministry of Environment & Forests - Central Pollution Control Board,16.5166666666667,80.6166666666667,1200,1097,,,,,,,,,
IND00064,031064,,India,River station,Zuari River - downstream Kumbarjria,"Downstream of point where Kumbar-Jria Canal joins,  Goa State, India Stn 1399, new October 2003.",,,,,FLUX,1990-12-01,Ministry of Environment & Forests - Central Pollution Control Board,15.5166666666667,73.9,,,,,,,,,,,
IND00063,031063,,India,River station,Mandovi River - at Panaji,"Neighbourhood of Panaji, Goa State, India Stn 1400, new October 2003.",,,,,FLUX,1990-12-01,Ministry of Environment & Forests - Central Pollution Control Board,15.6333333333333,73.85,,,,,,,,,,,
IND00026,031026,,India,Groundwater station,Well - in Vijayawada,"Premises of Vishweswara Temple, Krishna River Basin",,Krishna,,,IMPACT,1981-03-30,Ministry of Environment & Forests - Central Pollution Control Board,16.5166666666667,80.6166666666667,,,,,,,,10.7,,3,
IND00062,031062,,India,River station,Sabarmati River - at Vautha,"After confluence with Meshwa at Vautha (near Dhokla). Gujarat State, India Stn 1223, new October 2003.",,,,,FLUX,1988-10-01,Ministry of Environment & Forests - Central Pollution Control Board,22.7333333333333,72.4666666666667,,,,,,,,,,,
IND00027,031027,,India,Groundwater station,Well - at Peddavoora,"Near Damarpadu, premises of Panchayat Samithi Office, Krishna River Basin",,Krishna,,,IMPACT,1981-03-30,Ministry of Environment & Forests - Central Pollution Control Board,16.6666666666667,79.75,,,,,,,,8.9,,3,
IND00031,031031,,India,River station,Cauvery River - near Musiri,Near highway bridge Musiri,,Cauvery,66243,82,IMPACT,1984-03-18,Ministry of Environment & Forests - Central Pollution Control Board,10.9427777777778,78.4413888888889,1467,331,,,,,,,,,
